,BFT.WA
2022-01-02,
2022-01-02,625.2584228515625
2022-01-03,
2022-01-03,
2022-01-03,
2022-01-03,
2022-01-03,629.166259765625
2022-01-04,
2022-01-04,
2022-01-04,
2022-01-04,
2022-01-04,
2022-01-04,629.166259765625
2022-01-05,
2022-01-05,
2022-01-05,
2022-01-05,
2022-01-05,
2022-01-05,
2022-01-06,
2022-01-06,
2022-01-06,
2022-01-06,
2022-01-06,
2022-01-06,630.1432495117188
2022-01-07,
2022-01-07,
2022-01-09,
2022-01-09,
2022-01-09,626.2353515625
2022-01-10,
2022-01-10,
2022-01-10,
2022-01-10,
2022-01-10,
2022-01-10,636.9819946289062
2022-01-11,
2022-01-11,
2022-01-11,
2022-01-11,
2022-01-11,
2022-01-11,632.09716796875
2022-01-12,
2022-01-12,
2022-01-12,
2022-01-12,
2022-01-12,
2022-01-12,614.5117797851562
2022-01-13,
2022-01-13,
2022-01-13,
2022-01-13,
2022-01-13,
2022-01-13,614.5117797851562
2022-01-14,
2022-01-14,
2022-01-16,
2022-01-16,
2022-01-16,
2022-01-16,613.5347900390625
2022-01-17,
2022-01-17,
2022-01-17,
2022-01-17,
2022-01-17,
2022-01-17,609.626953125
2022-01-18,
2022-01-18,
2022-01-18,
2022-01-18,
2022-01-18,
2022-01-18,605.7190551757812
2022-01-19,
2022-01-19,
2022-01-19,
2022-01-19,
2022-01-19,
2022-01-19,577.3870849609375
2022-01-20,
2022-01-20,
2022-01-20,
2022-01-20,
2022-01-20,
2022-01-20,596.9263916015625
2022-01-21,
2022-01-21,
2022-01-23,
2022-01-23,
2022-01-23,
2022-01-23,591.0645751953125
2022-01-24,
2022-01-24,
2022-01-24,
2022-01-24,
2022-01-24,
2022-01-24,595.9494018554688
2022-01-25,
2022-01-25,
2022-01-25,
2022-01-25,
2022-01-25,
2022-01-25,600.834228515625
2022-01-26,
2022-01-26,
2022-01-26,
2022-01-26,
2022-01-26,
2022-01-26,592.0415649414062
2022-01-27,
2022-01-27,
2022-01-27,
2022-01-27,
2022-01-27,
2022-01-27,593.0184936523438
2022-01-28,
2022-01-28,
2022-01-30,
2022-01-30,
2022-01-30,
2022-01-30,594.9724731445312
2022-01-31,
2022-01-31,
2022-01-31,
2022-01-31,
2022-01-31,624.2814331054688
2022-02-01,
2022-02-01,
2022-02-01,
2022-02-01,
2022-02-01,623.3045043945312
2022-02-02,
2022-02-02,
2022-02-02,
2022-02-02,
2022-02-02,623.3045043945312
2022-02-03,
2022-02-03,
2022-02-03,
2022-02-03,
2022-02-03,
2022-02-03,625.2584228515625
2022-02-04,
2022-02-04,
2022-02-06,
2022-02-06,
2022-02-06,627.2123413085938
2022-02-07,
2022-02-07,
2022-02-07,
2022-02-07,
2022-02-07,
2022-02-07,639.9129028320312
2022-02-08,
2022-02-08,
2022-02-08,
2022-02-08,
2022-02-08,
2022-02-08,659.4522094726562
2022-02-09,
2022-02-09,
2022-02-09,
2022-02-09,
2022-02-09,
2022-02-09,659.4522094726562
2022-02-10,
2022-02-10,
2022-02-10,
2022-02-10,
2022-02-10,653.5904541015625
2022-02-11,
2022-02-11,
2022-02-13,
2022-02-13,
2022-02-13,
2022-02-13,666.291015625
2022-02-14,
2022-02-14,
2022-02-14,
2022-02-14,
2022-02-14,
2022-02-14,682.8994140625
2022-02-15,
2022-02-15,
2022-02-15,
2022-02-15,
2022-02-15,
2022-02-15,627.2123413085938
2022-02-16,
2022-02-16,
2022-02-16,
2022-02-16,
2022-02-16,
2022-02-16,633.0741577148438
2022-02-17,
2022-02-17,
2022-02-17,
2022-02-17,
2022-02-17,
2022-02-17,623.3045043945312
2022-02-18,
2022-02-18,
2022-02-20,
2022-02-20,
2022-02-20,
2022-02-20,620.3735961914062
2022-02-21,
2022-02-21,
2022-02-21,
2022-02-21,
2022-02-21,625.2584228515625
2022-02-22,
2022-02-22,
2022-02-22,
2022-02-22,
2022-02-22,604.7421264648438
2022-02-23,
2022-02-23,
2022-02-23,
2022-02-23,
2022-02-23,
2022-02-23,544.1702270507812
2022-02-24,
2022-02-24,
2022-02-24,
2022-02-24,
2022-02-24,
2022-02-24,555.893798828125
2022-02-25,
2022-02-25,
2022-02-27,
2022-02-27,
2022-02-27,
2022-02-27,559.8016967773438
2022-02-28,
2022-02-28,
2022-02-28,
2022-02-28,
2022-02-28,
2022-02-28,544.1702270507812
2022-03-01,
2022-03-01,
2022-03-01,
2022-03-01,
2022-03-01,
2022-03-01,537.3314208984375
2022-03-02,
2022-03-02,
2022-03-02,
2022-03-02,
2022-03-02,
2022-03-02,590.087646484375
2022-03-03,
2022-03-03,
2022-03-03,
2022-03-03,
2022-03-03,
2022-03-03,537.3314208984375
2022-03-04,
2022-03-04,
2022-03-06,
2022-03-06,
2022-03-06,
2022-03-06,515.8381958007812
2022-03-07,
2022-03-07,
2022-03-07,
2022-03-07,
2022-03-07,
2022-03-07,502.16064453125
2022-03-08,
2022-03-08,
2022-03-08,
2022-03-08,
2022-03-08,
2022-03-08,535.3775024414062
2022-03-09,
2022-03-09,
2022-03-09,
2022-03-09,
2022-03-09,
2022-03-09,530.49267578125
2022-03-10,
2022-03-10,
2022-03-10,
2022-03-10,
2022-03-10,
2022-03-10,531.4696655273438
2022-03-11,
2022-03-11,
2022-03-13,
2022-03-13,
2022-03-13,
2022-03-13,529.5156860351562
2022-03-14,
2022-03-14,
2022-03-14,
2022-03-14,
2022-03-14,
2022-03-14,527.561767578125
2022-03-15,
2022-03-15,
2022-03-15,
2022-03-15,
2022-03-15,
2022-03-15,544.1702270507812
2022-03-16,
2022-03-16,
2022-03-16,
2022-03-16,
2022-03-16,
2022-03-16,572.5022583007812
2022-03-17,
2022-03-17,
2022-03-17,
2022-03-17,
2022-03-17,
2022-03-17,576.4100952148438
2022-03-18,
2022-03-18,
2022-03-20,
2022-03-20,
2022-03-20,570.5482788085938
2022-03-21,
2022-03-21,
2022-03-21,
2022-03-21,
2022-03-21,
2022-03-21,556.8707885742188
2022-03-22,
2022-03-22,
2022-03-22,
2022-03-22,
2022-03-22,
2022-03-22,556.8707885742188
2022-03-23,
2022-03-23,
2022-03-23,
2022-03-23,
2022-03-23,
2022-03-23,565.6634521484375
2022-03-24,
2022-03-24,
2022-03-24,
2022-03-24,
2022-03-24,
2022-03-24,576.4100952148438
2022-03-25,
2022-03-25,
2022-03-27,
2022-03-27,
2022-03-27,
2022-03-27,566.6404418945312
2022-03-28,
2022-03-28,
2022-03-28,
2022-03-28,
2022-03-28,
2022-03-28,559.8016967773438
2022-03-29,
2022-03-29,
2022-03-29,
2022-03-29,
2022-03-29,
2022-03-29,570.5482788085938
2022-03-30,
2022-03-30,
2022-03-30,
2022-03-30,
2022-03-30,
2022-03-30,591.0645751953125
2022-03-31,
2022-03-31,
2022-03-31,
2022-03-31,
2022-03-31,
2022-03-31,612.557861328125
2022-04-01,
2022-04-01,
2022-04-03,
2022-04-03,
2022-04-03,
2022-04-03,632.09716796875
2022-04-04,
2022-04-04,
2022-04-04,
2022-04-04,
2022-04-04,632.09716796875
2022-04-05,
2022-04-05,
2022-04-05,
2022-04-05,
2022-04-05,
2022-04-05,612.557861328125
2022-04-06,
2022-04-06,
2022-04-06,
2022-04-06,
2022-04-06,
2022-04-06,605.7190551757812
2022-04-07,
2022-04-07,
2022-04-07,
2022-04-07,
2022-04-07,
2022-04-07,621.3505249023438
2022-04-08,
2022-04-08,
2022-04-10,
2022-04-10,
2022-04-10,
2022-04-10,627.2123413085938
2022-04-11,
2022-04-11,
2022-04-11,
2022-04-11,
2022-04-11,
2022-04-11,627.2123413085938
2022-04-12,
2022-04-12,
2022-04-12,
2022-04-12,
2022-04-12,
2022-04-12,625.2584228515625
2022-04-13,
2022-04-13,
2022-04-13,
2022-04-13,
2022-04-13,
2022-04-13,623.3045043945312
2022-04-14,
2022-04-14,
2022-04-14,
2022-04-14,
2022-04-17,
2022-04-17,
2022-04-18,
2022-04-18,
2022-04-18,
2022-04-18,
2022-04-18,
2022-04-18,615.48876953125
2022-04-19,
2022-04-19,
2022-04-19,
2022-04-19,
2022-04-19,
2022-04-19,597.9033813476562
2022-04-20,
2022-04-20,
2022-04-20,
2022-04-20,
2022-04-20,
2022-04-20,595.9494018554688
2022-04-21,
2022-04-21,
2022-04-21,
2022-04-21,
2022-04-21,576.4100952148438
2022-04-22,
2022-04-22,
2022-04-24,
2022-04-24,
2022-04-24,560.7786254882812
2022-04-25,
2022-04-25,
2022-04-25,
2022-04-25,
2022-04-25,
2022-04-25,535.3775024414062
2022-04-26,
2022-04-26,
2022-04-26,
2022-04-26,
2022-04-26,
2022-04-26,556.8707885742188
2022-04-27,
2022-04-27,
2022-04-27,
2022-04-27,
2022-04-27,
2022-04-27,578.364013671875
2022-04-28,
2022-04-28,
2022-04-28,
2022-04-28,
2022-04-28,578.364013671875
2022-04-29,
2022-04-29,
2022-05-01,
2022-05-01,
2022-05-01,588.1336669921875
2022-05-02,
2022-05-02,
2022-05-02,
2022-05-02,
2022-05-02,
2022-05-03,
2022-05-03,
2022-05-03,
2022-05-03,
2022-05-03,576.4100952148438
2022-05-04,
2022-05-04,
2022-05-04,
2022-05-04,
2022-05-04,574.4561767578125
2022-05-05,
2022-05-05,
2022-05-05,
2022-05-05,
2022-05-05,
2022-05-05,539.285400390625
2022-05-06,
2022-05-06,
2022-05-08,
2022-05-08,
2022-05-08,
2022-05-08,574.4561767578125
2022-05-09,
2022-05-09,
2022-05-09,
2022-05-09,
2022-05-09,
2022-05-09,584.225830078125
2022-05-10,
2022-05-10,
2022-05-10,
2022-05-10,
2022-05-10,
2022-05-10,584.225830078125
2022-05-11,
2022-05-11,
2022-05-11,
2022-05-11,
2022-05-11,
2022-05-11,549.0550537109375
2022-05-12,
2022-05-12,
2022-05-12,
2022-05-12,
2022-05-12,
2022-05-12,551.0089721679688
2022-05-13,
2022-05-13,
2022-05-15,
2022-05-15,
2022-05-15,
2022-05-15,552.962890625
2022-05-16,
2022-05-16,
2022-05-16,
2022-05-16,
2022-05-16,
2022-05-16,552.962890625
2022-05-17,
2022-05-17,
2022-05-17,
2022-05-17,
2022-05-17,
2022-05-17,558.82470703125
2022-05-18,
2022-05-18,
2022-05-18,
2022-05-18,
2022-05-18,
2022-05-18,554.9168090820312
2022-05-19,
2022-05-19,
2022-05-19,
2022-05-19,
2022-05-19,
2022-05-19,545.1471557617188
2022-05-20,
2022-05-20,
2022-05-22,
2022-05-22,
2022-05-22,
2022-05-22,547.1011352539062
2022-05-23,
2022-05-23,
2022-05-23,
2022-05-23,
2022-05-23,
2022-05-23,549.0550537109375
2022-05-24,
2022-05-24,
2022-05-24,
2022-05-24,
2022-05-24,
2022-05-24,547.1011352539062
2022-05-25,
2022-05-25,
2022-05-25,
2022-05-25,
2022-05-25,
2022-05-25,558.82470703125
2022-05-26,
2022-05-26,
2022-05-26,
2022-05-26,
2022-05-26,
2022-05-26,560.7786254882812
2022-05-27,
2022-05-27,
2022-05-29,
2022-05-29,
2022-05-29,
2022-05-29,576.4100952148438
2022-05-30,
2022-05-30,
2022-05-30,
2022-05-30,
2022-05-30,
2022-05-30,592.0415649414062
2022-05-31,
2022-05-31,
2022-05-31,
2022-05-31,
2022-05-31,
2022-05-31,580.3179321289062
2022-06-01,
2022-06-01,
2022-06-01,
2022-06-01,
2022-06-01,
2022-06-01,586.1797485351562
2022-06-02,
2022-06-02,
2022-06-02,
2022-06-02,
2022-06-02,588.1336669921875
2022-06-03,
2022-06-03,
2022-06-05,
2022-06-05,
2022-06-05,595.9494018554688
2022-06-06,
2022-06-06,
2022-06-06,
2022-06-06,
2022-06-06,
2022-06-06,588.1336669921875
2022-06-07,
2022-06-07,
2022-06-07,
2022-06-07,
2022-06-07,
2022-06-07,588.1336669921875
2022-06-08,
2022-06-08,
2022-06-08,
2022-06-08,
2022-06-08,
2022-06-08,582.2719116210938
2022-06-09,
2022-06-09,
2022-06-09,
2022-06-09,
2022-06-09,
2022-06-09,586.1797485351562
2022-06-10,
2022-06-10,
2022-06-12,
2022-06-12,
2022-06-12,
2022-06-12,556.8707885742188
2022-06-13,
2022-06-13,
2022-06-13,
2022-06-13,
2022-06-13,
2022-06-13,502.16064453125
2022-06-14,
2022-06-14,
2022-06-14,
2022-06-14,
2022-06-14,
2022-06-14,509.97637939453125
2022-06-15,
2022-06-15,
2022-06-15,
2022-06-15,
2022-06-15,
2022-06-15,
2022-06-16,
2022-06-16,
2022-06-16,
2022-06-16,
2022-06-16,488.4831237792969
2022-06-17,
2022-06-17,
2022-06-19,
2022-06-19,
2022-06-19,
2022-06-19,484.57525634765625
2022-06-20,
2022-06-20,
2022-06-20,
2022-06-20,
2022-06-20,
2022-06-20,500.20672607421875
2022-06-21,
2022-06-21,
2022-06-21,
2022-06-21,
2022-06-21,
2022-06-21,482.621337890625
2022-06-22,
2022-06-22,
2022-06-22,
2022-06-22,
2022-06-22,
2022-06-22,454.289306640625
2022-06-23,
2022-06-23,
2022-06-23,
2022-06-23,
2022-06-23,452.33538818359375
2022-06-24,
2022-06-24,
2022-06-26,
2022-06-26,
2022-06-26,
2022-06-26,459.17413330078125
2022-06-27,
2022-06-27,
2022-06-27,
2022-06-27,
2022-06-27,
2022-06-27,468.9438171386719
2022-06-28,
2022-06-28,
2022-06-28,
2022-06-28,
2022-06-28,
2022-06-28,478.7134704589844
2022-06-29,
2022-06-29,
2022-06-29,
2022-06-29,
2022-06-29,
2022-06-29,488.4831237792969
2022-06-30,
2022-06-30,
2022-06-30,
2022-06-30,
2022-06-30,
2022-06-30,531.4696655273438
2022-07-01,
2022-07-01,
2022-07-03,
2022-07-03,
2022-07-03,
2022-07-03,521.7000122070312
2022-07-04,
2022-07-04,
2022-07-04,
2022-07-04,
2022-07-04,
2022-07-04,513.88427734375
2022-07-05,
2022-07-05,
2022-07-05,
2022-07-05,
2022-07-05,
2022-07-05,494.3449401855469
2022-07-06,
2022-07-06,
2022-07-06,
2022-07-06,
2022-07-06,
2022-07-06,488.4831237792969
2022-07-07,
2022-07-07,
2022-07-07,
2022-07-07,
2022-07-07,
2022-07-07,498.2528076171875
2022-07-08,
2022-07-08,
2022-07-10,
2022-07-10,
2022-07-10,
2022-07-10,509.97637939453125
2022-07-11,
2022-07-11,
2022-07-11,
2022-07-11,
2022-07-11,
2022-07-11,508.0224609375
2022-07-12,
2022-07-12,
2022-07-12,
2022-07-12,
2022-07-12,
2022-07-12,494.3449401855469
2022-07-13,
2022-07-13,
2022-07-13,
2022-07-13,
2022-07-13,
2022-07-13,478.7134704589844
2022-07-14,
2022-07-14,
2022-07-14,
2022-07-14,
2022-07-14,
2022-07-14,479.6904296875
2022-07-15,
2022-07-15,
2022-07-17,
2022-07-17,
2022-07-17,496.2988586425781
2022-07-18,
2022-07-18,
2022-07-18,
2022-07-18,
2022-07-18,
2022-07-18,529.5156860351562
2022-07-19,
2022-07-19,
2022-07-19,
2022-07-19,
2022-07-19,
2022-07-19,547.1011352539062
2022-07-20,
2022-07-20,
2022-07-20,
2022-07-20,
2022-07-20,
2022-07-20,556.8707885742188
2022-07-21,
2022-07-21,
2022-07-21,
2022-07-21,
2022-07-21,
2022-07-21,593.9954833984375
2022-07-22,
2022-07-22,
2022-07-24,
2022-07-24,
2022-07-24,
2022-07-24,570.5482788085938
2022-07-25,
2022-07-25,
2022-07-25,
2022-07-25,
2022-07-25,
2022-07-25,556.8707885742188
2022-07-26,
2022-07-26,
2022-07-26,
2022-07-26,
2022-07-26,
2022-07-26,547.1011352539062
2022-07-27,
2022-07-27,
2022-07-27,
2022-07-27,
2022-07-27,
2022-07-27,545.1471557617188
2022-07-28,
2022-07-28,
2022-07-28,
2022-07-28,
2022-07-28,
2022-07-28,574.4561767578125
2022-07-29,
2022-07-29,
2022-07-31,
2022-07-31,
2022-07-31,
2022-07-31,554.9168090820312
2022-08-01,
2022-08-01,
2022-08-01,
2022-08-01,
2022-08-01,
2022-08-01,564.6865234375
2022-08-02,
2022-08-02,
2022-08-02,
2022-08-02,
2022-08-02,
2022-08-02,590.087646484375
2022-08-03,
2022-08-03,
2022-08-03,
2022-08-03,
2022-08-03,
2022-08-03,582.2719116210938
2022-08-04,
2022-08-04,
2022-08-04,
2022-08-04,
2022-08-04,
2022-08-04,586.1797485351562
2022-08-05,
2022-08-05,
2022-08-07,
2022-08-07,
2022-08-07,
2022-08-07,588.1336669921875
2022-08-08,
2022-08-08,
2022-08-08,
2022-08-08,
2022-08-08,
2022-08-08,593.9954833984375
2022-08-09,
2022-08-09,
2022-08-09,
2022-08-09,
2022-08-09,
2022-08-09,592.0415649414062
2022-08-10,
2022-08-10,
2022-08-10,
2022-08-10,
2022-08-10,590.087646484375
2022-08-11,
2022-08-11,
2022-08-11,
2022-08-11,
2022-08-11,
2022-08-11,590.087646484375
2022-08-12,
2022-08-12,
2022-08-14,
2022-08-14,
2022-08-14,
2022-08-14,
2022-08-15,
2022-08-15,
2022-08-15,
2022-08-15,
2022-08-15,
2022-08-15,590.087646484375
2022-08-16,
2022-08-16,
2022-08-16,
2022-08-16,
2022-08-16,
2022-08-16,646.7516479492188
2022-08-17,
2022-08-17,
2022-08-17,
2022-08-17,
2022-08-17,
2022-08-17,662.3831176757812
2022-08-18,
2022-08-18,
2022-08-18,
2022-08-18,
2022-08-18,
2022-08-18,679.968505859375
2022-08-19,
2022-08-19,
2022-08-21,
2022-08-21,
2022-08-21,
2022-08-21,664.3370361328125
2022-08-22,
2022-08-22,
2022-08-22,
2022-08-22,
2022-08-22,
2022-08-22,654.5673828125
2022-08-23,
2022-08-23,
2022-08-23,
2022-08-23,
2022-08-23,
2022-08-23,646.7516479492188
2022-08-24,
2022-08-24,
2022-08-24,
2022-08-24,
2022-08-24,
2022-08-24,638.9359130859375
2022-08-25,
2022-08-25,
2022-08-25,
2022-08-25,
2022-08-25,
2022-08-25,631.1201782226562
2022-08-26,
2022-08-26,
2022-08-28,
2022-08-28,
2022-08-28,
2022-08-28,619.3966064453125
2022-08-29,
2022-08-29,
2022-08-29,
2022-08-29,
2022-08-29,
2022-08-29,617.4426879882812
2022-08-30,
2022-08-30,
2022-08-30,
2022-08-30,
2022-08-30,
2022-08-30,644.7977294921875
2022-08-31,
2022-08-31,
2022-08-31,
2022-08-31,
2022-08-31,
2022-08-31,625.2584228515625
2022-09-01,
2022-09-01,
2022-09-01,
2022-09-01,
2022-09-01,
2022-09-01,636.9819946289062
2022-09-02,
2022-09-02,
2022-09-04,
2022-09-04,
2022-09-04,
2022-09-04,646.7516479492188
2022-09-05,
2022-09-05,
2022-09-05,
2022-09-05,
2022-09-05,
2022-09-05,605.7190551757812
2022-09-06,
2022-09-06,
2022-09-06,
2022-09-06,
2022-09-06,
2022-09-06,611.5808715820312
2022-09-07,
2022-09-07,
2022-09-07,
2022-09-07,
2022-09-07,635.028076171875
2022-09-08,
2022-09-08,
2022-09-08,
2022-09-08,
2022-09-08,
2022-09-08,656.5213012695312
2022-09-09,
2022-09-09,
2022-09-11,
2022-09-11,
2022-09-11,
2022-09-11,666.291015625
2022-09-12,
2022-09-12,
2022-09-12,
2022-09-12,
2022-09-12,
2022-09-12,644.7977294921875
2022-09-13,
2022-09-13,
2022-09-13,
2022-09-13,
2022-09-13,
2022-09-13,629.166259765625
2022-09-14,
2022-09-14,
2022-09-14,
2022-09-14,
2022-09-14,
2022-09-14,619.3966064453125
2022-09-15,
2022-09-15,
2022-09-15,
2022-09-15,
2022-09-15,
2022-09-15,592.0415649414062
2022-09-16,
2022-09-16,
2022-09-18,
2022-09-18,
2022-09-18,590.087646484375
2022-09-19,
2022-09-19,
2022-09-19,
2022-09-19,
2022-09-19,
2022-09-19,592.0415649414062
2022-09-20,
2022-09-20,
2022-09-20,
2022-09-20,
2022-09-20,
2022-09-20,588.1336669921875
2022-09-21,
2022-09-21,
2022-09-21,
2022-09-21,
