Date,DJ_Sus
6/17/22,1765.25
6/20/22,1773.94
6/21/22,1804.36
6/22/22,1802.49
6/23/22,1805.16
6/24/22,1850.88
6/27/22,1856.08
6/28/22,1834.86
6/29/22,1831.37
6/30/22,1805.36
7/1/22,1804.69
7/4/22,1808.91
7/5/22,1789.76
7/6/22,1798.81
7/7/22,1822.63
7/8/22,1827.23
7/11/22,1807.68
7/12/22,1788.77
7/13/22,1779.79
7/14/22,1757.38
7/15/22,1794.81
7/18/22,1794.8
7/19/22,1832.77
7/20/22,1831.4
7/21/22,1840.76
7/22/22,1832.25
7/25/22,1832.02
7/26/22,1817.84
7/27/22,1849.89
7/28/22,1875.33
7/29/22,1890.17
8/1/22,1889.89
8/2/22,1874.31
8/3/22,1892.11
8/4/22,1898.17
8/5/22,1894.58
8/8/22,1901.8
8/9/22,1896.34
8/10/22,1927.58
8/11/22,1922.4
8/12/22,1937.22
8/15/22,1944.37
8/16/22,1944.49
8/17/22,1930.1
8/18/22,1929.1
8/19/22,1907.85
8/22/22,1875.09
8/23/22,1863.31
8/24/22,1864.6
8/25/22,1879.07
8/26/22,1838.79
8/29/22,1818.64
8/30/22,1807.91
8/31/22,1799.59
9/1/22,1783.15
9/2/22,1784.71
9/5/22,1775.59
9/6/22,1770.18
9/7/22,1783.44
9/8/22,1799.33
9/9/22,1829.74
9/12/22,1854.69
9/13/22,1798.87
9/14/22,1788.32
9/15/22,1773.12
9/16/22,1760.84
9/19/22,1760.73
9/20/22,1745.72
9/21/22,1723.13
9/22/22,1710.77
9/23/22,1678.07
9/26/22,1657.16
9/27/22,1651.97
9/28/22,1670.36
9/29/22,1656.74
9/30/22,1645.04
10/3/22,1675.99
10/4/22,1731.94
10/5/22,1725.37
10/6/22,1711.74
10/7/22,1673.68
10/10/22,1657.12
10/11/22,1645.03
10/12/22,1639.38
10/13/22,1662.01
10/14/22,1655.88
10/17/22,1686.21
10/18/22,1702.78
10/19/22,1690.7
10/20/22,1692.57
10/21/22,1706.45
10/24/22,1731.24
10/25/22,1755.13
10/26/22,1747.31
10/27/22,1740.84
10/28/22,1759.51
10/31/22,1752.6
11/1/22,1749.03
11/2/22,1727.23
11/3/22,1701.22
11/4/22,1731.84
11/7/22,1757.26
11/8/22,1776.74
11/9/22,1761.58
11/10/22,1828.79
11/11/22,1847.04
11/14/22,1840.51
11/15/22,1855.91
11/16/22,1850.34
11/17/22,1839.54
11/18/22,1857.51
11/21/22,1844.68
11/22/22,1864.28
11/23/22,1880.63
11/24/22,1889.15
11/25/22,1890.63
11/28/22,1868.35
11/29/22,1865.72
11/30/22,1901.12
12/1/22,1922.52
12/2/22,1916.96
12/5/22,1903.78
12/6/22,1884.29
12/7/22,1881.28
12/8/22,1886.84
12/9/22,1884.23
12/12/22,1890.3
12/13/22,1912.24
12/14/22,1912.9
12/15/22,1865.65
12/16/22,1845.41
12/19/22,1834.27
12/20/22,1837.22
12/21/22,1856.06
12/22/22,1840.98
12/23/22,1842.19
12/26/22,1842.78
12/27/22,1842.41
12/28/22,1826.37
12/29/22,1847.26
12/30/22,1838.04
1/2/23,1843.08
1/3/23,1841.54
1/4/23,1846.4
1/5/23,1823.62
1/6/23,1854.39
1/9/23,1872.86
1/10/23,1874.02
1/11/23,1892.32
1/12/23,1902.41
1/13/23,1915.6
1/16/23,1918.64
1/17/23,1917.66
1/18/23,1906.99
1/19/23,1890.1
1/20/23,1911.72
1/23/23,1927.4
1/24/23,1924.73
1/25/23,1923.87
1/26/23,1934.71
1/27/23,1935.6
1/30/23,1929.23
1/31/23,1941.11
2/1/23,1953.97
2/2/23,1978.89
2/3/23,1961.67
2/6/23,1936.73
2/7/23,1954.91
2/8/23,1950.38
2/9/23,1949.68
2/10/23,1941.58
2/13/23,1959.52
2/14/23,1958.94
2/15/23,1952
2/16/23,1940.91
2/17/23,1934.43
2/20/23,1937.42
2/21/23,1918.39
2/22/23,1906.64
2/23/23,1909.04
2/24/23,1881.05
2/27/23,1891.79
2/28/23,1886.83
3/1/23,1884.59
3/2/23,1896.4
3/3/23,1917.06
3/6/23,1926.5
3/7/23,1900.21
3/8/23,1895.44
3/9/23,1881.55
3/10/23,1864.79
3/13/23,1859.95
3/14/23,1876.32
3/15/23,1855.24
3/16/23,1885.77
3/17/23,1881.11
3/20/23,1890.69
3/21/23,1912.6
3/22/23,1904.92
3/23/23,1916.2
3/24/23,1910.77
3/27/23,1915.72
3/28/23,1915.64
3/29/23,1933.52
3/30/23,1951.87
3/31/23,1968.85
4/3/23,1978.39
4/4/23,1981.45
4/5/23,1979.81
4/6/23,1990.36
4/7/23,1990.52
4/10/23,1981.45
4/11/23,1984.62
4/12/23,1990.73
4/13/23,2011.21
4/14/23,2005.82
4/17/23,1997.71
4/18/23,2002.77
4/19/23,1996.38
4/20/23,1993.76
4/21/23,1994.03
4/24/23,1997.48
4/25/23,1979.13
4/26/23,1980.6
4/27/23,1996.74
4/28/23,2010.13
5/1/23,2008.38
5/2/23,1992.06
5/3/23,1989.6
5/4/23,1981.68
5/5/23,2004.54
5/8/23,2007.23
5/9/23,1999.41
5/10/23,2006.38
5/11/23,2000.57
5/12/23,1998.49
5/15/23,2001.2
5/16/23,1998.2
5/17/23,2004.59
5/18/23,2014.56
5/19/23,2024.24
5/22/23,2028.54
5/23/23,2009.34
5/24/23,1986.87
5/25/23,1990.34
5/26/23,2010.53
5/29/23,2013.25
5/30/23,2004.21
5/31/23,1989.11
6/1/23,2007.37
6/2/23,2034.65
6/5/23,2036.84
6/6/23,2035.49
6/7/23,2020.4
6/8/23,2028.45
6/9/23,2034.47
6/12/23,2045.02
6/13/23,2061.93
6/14/23,2064.42
6/15/23,2085.93
6/16/23,2083.33
6/19/23,2077.36
6/20/23,2065.66
6/21/23,2057.05
6/22/23,2062.18
6/23/23,2041.46
6/26/23,2032.16
6/27/23,2040.45
6/28/23,2040.75
6/29/23,2043.28
6/30/23,2061.72
7/3/23,2060.9
7/4/23,2060.97
7/5/23,2052.63
7/6/23,2025.56
7/7/23,2020.26
7/10/23,2022.61
7/11/23,2038.18
7/12/23,2064.09
7/13/23,2091.67
7/14/23,2105.68
7/17/23,2100.31
7/18/23,2118.94
7/19/23,2117.45
7/20/23,2111.13
7/21/23,2109.63
7/24/23,2111.86
7/25/23,2121.61
7/26/23,2118.02
7/27/23,2115.05
7/28/23,2125.23
7/31/23,2127.41
8/1/23,2115.64
8/2/23,2082.14
8/3/23,2070.32
8/4/23,2073.5
8/7/23,2087.04
8/8/23,2069.58
8/9/23,2069.86
8/10/23,2079.68
8/11/23,2069.57
8/14/23,2067.13
8/15/23,2054.27
8/16/23,2040.65
8/17/23,2024.84
8/18/23,2018.1
8/21/23,2025.85
8/22/23,2031.35
8/23/23,2047.41
8/24/23,2031.91
8/25/23,2027.83
8/28/23,2044.34
8/29/23,2065.84
8/30/23,2076.28
8/31/23,2065.05
9/1/23,2065.39
9/4/23,2065.86
9/5/23,2054.72
9/6/23,2045.14
9/7/23,2044.04
9/8/23,2049.1
9/11/23,2059.3
9/12/23,2050.43
9/13/23,2053.96
9/14/23,2074.58
9/15/23,2066.02
9/18/23,2058.29
9/19/23,2055.81
9/20/23,2050.59
9/21/23,2018.68
9/22/23,2013.39
9/25/23,2009.24
9/26/23,1987.46
9/27/23,1983.39
9/28/23,1995.25
9/29/23,1992.49
10/2/23,1986.27
10/3/23,1959.56
10/4/23,1964.82
10/5/23,1971.36
10/6/23,1992.6
10/9/23,1999.37
10/10/23,2018.92
10/11/23,2031.84
10/12/23,2023.54
10/13/23,2009.3
10/16/23,2020.9
10/17/23,2027.5
10/18/23,2007.72
10/19/23,1995.26
10/20/23,1977.42
10/23/23,1971.89
10/24/23,1980.16
10/25/23,1967.48
10/26/23,1942.66
10/27/23,1934.98
10/30/23,1952.07
10/31/23,1954.61
11/1/23,1971.93
11/2/23,2005.9
11/3/23,2024.73
11/6/23,2034.39
11/7/23,2031.34
11/8/23,2033.22
11/9/23,2030.88
11/10/23,2034.3
11/13/23,2039.58
11/14/23,2070.53
11/15/23,2081.49
11/16/23,2084.94
11/17/23,2087.61
11/20/23,2101.63
11/21/23,2103.6
11/22/23,2106.64
11/23/23,2111.48
11/24/23,2114.88
11/27/23,2107.42
11/28/23,2117.73
11/29/23,2116.36
11/30/23,2127.4
12/1/23,2132.18
12/4/23,2123.43
12/5/23,2122.56
12/6/23,2123.05
12/7/23,2130.5
12/8/23,2135.69
12/11/23,2141.78
12/12/23,2150.92
12/13/23,2159.8
12/14/23,2174.63
12/15/23,2171.21
12/18/23,2171.43
12/19/23,2183.56
12/20/23,2174.44
12/21/23,2185.88
12/22/23,2189.72
12/25/23,2189.84
12/26/23,2194.87
12/27/23,2207.39
12/28/23,2212.72
12/29/23,2209.27
1/1/24,2209.24
1/2/24,2198.01
1/3/24,2178.63
1/4/24,2181.69
1/5/24,2178.96
1/8/24,2195.43
1/9/24,2191.89
1/10/24,2200.87
1/11/24,2201.46
1/12/24,2210.3
1/15/24,2207.73
1/16/24,2192.64
1/17/24,2176.19
1/18/24,2188.37
1/19/24,2205.6
1/22/24,2212.02
1/23/24,2211.89
1/24/24,2230.09
1/25/24,2237.32
1/26/24,2240.14
1/29/24,2252.75
1/30/24,2252.85
1/31/24,2230.12
2/1/24,2237.25
2/2/24,2247.5
2/5/24,2234.06
2/6/24,2247.87
2/7/24,2256.96
2/8/24,2253.57
2/9/24,2263.23
2/12/24,2258.12
2/13/24,2233.2
2/14/24,2241.11
2/15/24,2253.28
2/16/24,2251.88
2/19/24,2251.05
2/20/24,2252.28
2/21/24,2254.53
2/22/24,2281.08
2/23/24,2286.71
2/26/24,2275.87
2/27/24,2276.22
2/28/24,2264.33
2/29/24,2270.71
3/1/24,2280.19
3/4/24,2284.26
3/5/24,2266.22
3/6/24,2279.23
3/7/24,2305.62
3/8/24,2312.66
3/11/24,2309.18
3/12/24,2328.2
3/13/24,2332.7
3/14/24,2333.41
3/15/24,2302.31
3/18/24,2316.69
3/19/24,2317.69
3/20/24,2323.14
3/21/24,2344.51
3/22/24,2338.17
3/25/24,2331.5
3/26/24,2336.16
3/27/24,2343.33