Ticker,shortName,longName,country,currency,previousClose,sharesOutstanding,impliedSharesOutstanding,marketCap,enterpriseValue,ebitda,forwardEps,trailingEps,grossMargins,operatingMargins,ebitdaMargins,industry,sector,website
0973.HK,L'OCCITANE,L'Occitane International S.A.,Luxembourg,HKD,31.5,1472169984,1472169984,46888615936,47115563008,378692992,1.6,0.5,0.79602,0.080240004,0.16420999,Household & Personal Products,Consumer Defensive,https://group.loccitane.com
1112.HK,H&H INTL HLDG,Health and Happiness (H&H) International Holdings Limited,Hong Kong,HKD,11.24,645561024,645561024,7010792448,15227624448,2015838976,1.58,1.26,0.5996,0.15885,0.14606,Packaged Foods,Consumer Defensive,https://www.hh.global
1346.HK,LEVER STYLE,Lever Style Corporation,Hong Kong,HKD,0.95,639100032,689366016,600754048,579670272,18602392,,0.19,0.28717,0.09904,0.089209996,Apparel Manufacturing,Consumer Cyclical,https://www.leverstyle.com
1H2.SI,$ Olive Tree,Olive Tree Estates Limited,Singapore,SGD,0.078,115845000,124756000,9035910,13570926,-218000,,-0.02,0.97498,-0.66778,-0.18181999,Real Estate - Diversified,Real Estate,https://www.olivetreeestates.com
2897.TW,O-BANK CO LTD,"O-Bank Co., Ltd.",Taiwan,TWD,9.97,2716470016,2716470016,26920216576,107982684160,,,0.78,,0.27909002,,Banks - Regional,Financial Services,https://www.o-bank.com
4755.T,RAKUTEN GROUP INC,"Rakuten Group, Inc.",Japan,JPY,866.4,2142140032,2158710016,1891081256960,1774600060928,144941006848,-6.16,-182.81,0.107080005,0.0196,0.06998,Internet Retail,Consumer Cyclical,https://global.rakuten.com/corp
6088.T,SIGMAXYZ HOLDINGS INC,SIGMAXYZ Holdings Inc.,Japan,JPY,1767.0,42212400,42703200,73069666304,68876492800,4528500224,84.07,77.04,0.46084,0.22373,0.21213,Specialty Business Services,Industrials,https://www.sigmaxyz.com
ABB.XA,AUSSIEBAND FPO,Aussie Broadband Limited,Australia,AUD,3.63,,,,982569472,60549000,,,0.19221,0.04322,0.07083,,,https://www.aussiebroadband.com.au
ABI.BR,AB INBEV,Anheuser-Busch InBev SA/NV,Belgium,EUR,55.17,1748969984,282105984,108618956800,188217786368,18211000320,3.5,2.39,0.53863,0.23126,0.30669,Beverages - Brewers,Consumer Defensive,https://www.ab-inbev.com
AEF.XA,A ETHICAL FPO,Australian Ethical Investment Limited,Australia,AUD,4.85,,,,522400960,23888000,,0.101,0.67727995,0.26561,0.25679,,,https://www.australianethical.com.au
ALQP.PA,QUADPACK,"Quadpack Industries, S.A.",Spain,EUR,18.0,4359880,4382130,79349936,134521168,8468000,1.43,0.29,0.54195,0.06525,0.06092,Packaging & Containers,Consumer Cyclical,https://www.quadpack.com
AMAL,Amalgamated Financial Corp.,Amalgamated Financial Corp.,United States,USD,23.29,30509400,31415200,725208448,906100160,,3.28,2.86,,0.49937,,Banks - Regional,Financial Services,https://www.amalgamatedbank.com
ARZZ3.SA,AREZZO CO   ON      NM,Arezzo Indústria e Comércio S.A.,Brazil,BRL,60.64,110958000,110958000,6828355584,7798003200,585580032,5.32,3.51,0.54244,0.07995,0.12082,Footwear & Accessories,Consumer Cyclical,https://ri.arezzoco.com.br
BFT.WA,BENEFIT,Benefit Systems S.A.,Poland,PLN,2740.0,2933540,2967000,7568532992,8555462144,556281984,43.5,122.82,0.31788,0.2466,0.2157,Leisure,Consumer Cyclical,https://www.benefitsystems.pl
BIO.XA,BIOME AUST FPO,Biome Australia Limited,Australia,AUD,0.35,,,,73621928,-3272891,,,0.59831,-0.30477,-0.33159,,,https://www.biomeaustralia.com
BIRD,"Allbirds, Inc.","Allbirds, Inc.",United States,USD,0.6876,102641000,155188992,107499416,70625104,-97849000,-0.61,-1.01,0.41026002,-0.40287998,-0.38513002,Apparel Retail,Consumer Cyclical,https://www.allbirds.com
BUD,Anheuser-Busch Inbev SA Sponsor,Anheuser-Busch InBev SA/NV,Belgium,USD,59.5,1971020032,282105984,119174135808,196807753728,18211000320,3.93,2.6,0.53863,0.23126,0.30669,Beverages - Brewers,Consumer Defensive,https://www.ab-inbev.com
CABK.MC,"CAIXABANK, S.A.","CaixaBank, S.A.",Spain,EUR,4.738,7358040064,7372729856,35046346752,88191442944,,0.41,0.61,,0.52077,,Banks - Regional,Financial Services,https://www.caixabank.com
CLSA3.SA,CLEARSALE   ON      NM,ClearSale S.A.,Brazil,BRL,4.87,187926000,187926000,900165504,545321920,-72493000,0.27,-0.15,0.34435,-0.32151002,-0.13904999,Software - Infrastructure,Technology,https://www.clearsale.com.br
COCO,"The Vita Coco Company, Inc.","The Vita Coco Company, Inc.",United States,USD,24.53,56929300,56929300,1400176128,1265591808,57516000,1.04,0.79,0.36613998,0.0533,0.11652,Beverages - Non-Alcoholic,Consumer Defensive,https://thevitacococompany.com
CONCHATORO.SN,VINA CONCHA Y TORO,Viña Concha y Toro S.A.,Chile,CLP,1181.0,739009984,739009984,868336730112,1360932241408,101829337088,81.06,58.34,0.3696,0.12646,0.12163,Beverages - Wineries & Distilleries,Consumer Defensive,https://www.vinacyt.com
COUR,"Coursera, Inc.","Coursera, Inc.",United States,USD,13.95,156946000,156946000,2194105088,1473926400,-141226000,0.29,-0.77,0.51888,-0.14069,-0.22214001,Education & Training Services,Consumer Defensive,https://www.coursera.org
CVT.NZ,Comvita Limited Ordinary Shares,Comvita Limited,New Zealand,NZD,2.08,70225400,70225400,146068832,252385568,7989000,0.19,0.05,0.57027,0.00071999995,0.035439998,Packaged Foods,Consumer Defensive,https://www.comvita.co.nz
CWEB.TO,CHARLOTTES WEB HOLDINGS INC,"Charlotte's Web Holdings, Inc.",United States,CAD,0.225,156960992,161874000,37670636,46759152,-24904000,-0.22,-0.44,0.56315,-0.61842996,-0.39433,Drug Manufacturers - Specialty & Generic,Healthcare,https://www.charlottesweb.com
DANOY,DANONE ADR-EA CNV INTO 1/5 EUR0,Danone S.A.,France,USD,12.92,3209359872,3213829888,41522683904,18610984960,4384000000,,0.3,0.47373,0.13507,0.15873,Packaged Foods,Consumer Defensive,https://www.danone.com
DOX.MI,DOXEE,Doxee S.p.A.,Italy,EUR,3.28,8597810,8650880,27341036,46306352,-1007905,,-0.27,0.088929996,-0.19246,-0.03464,Software - Infrastructure,Technology,https://www.doxee.com
FFH.TO,FAIRFAX FINANCIAL HOLDINGS LTD.,Fairfax Financial Holdings Limited,Canada,CAD,1504.46,22142300,24038200,35830394880,45205565440,6411400192,209.02,233.49,0.4042,0.07374,0.2014,Insurance - Property & Casualty,Financial Services,https://www.fairfax.ca
FLOW.TO,FLOW BEVERAGE CORP,Flow Beverage Corp.,Canada,CAD,0.205,65578300,71792800,15435452,52359148,-39711684,-0.32,-0.9,0.055359997,-1.5841,-0.88069,Beverages - Non-Alcoholic,Consumer Defensive,https://flowhydration.com
FREY.PA,FREY,Frey SA,France,EUR,27.6,31724000,31797800,877619264,,92600000,2.15,0.6,0.60136,0.97589,0.78876,REIT - Retail,Real Estate,https://www.frey.fr
GFI.NZ,Greenfern Industries Limited Or,Greenfern Industries Limited,New Zealand,NZD,0.037,114235000,119427000,4455165,,,,-0.02,,,,Drug Manufacturers - Specialty & Generic,Healthcare,https://gfi.nz
GPS,"Gap, Inc. (The)","The Gap, Inc.",United States,USD,28.08,373512992,373512992,10503185408,14056230912,1132999936,1.57,1.34,0.47317,0.04537,0.0761,Apparel Retail,Consumer Cyclical,https://www.gapinc.com
GROV,"Grove Collaborative Holdings, I","Grove Collaborative Holdings, Inc.",United States,USD,1.73,32477700,38174900,64725544,75238944,-29439000,-0.09,-1.28,0.52977,-0.13270001,-0.11354,Household & Personal Products,Consumer Defensive,https://www.grove.co
HAIN,"The Hain Celestial Group, Inc.","The Hain Celestial Group, Inc.",United States,USD,8.1,89832400,89832400,734829056,1573392640,130051000,0.46,-1.77,0.21929,0.06577,0.07297,Packaged Foods,Consumer Defensive,https://www.hain.com
HAN.MC,"HANNUN, S.A.",Hannun S.A.,Spain,EUR,0.234,31271400,31271400,7505136,1476459,-6531339,,-0.15,0.30311,-1.15663,-1.24467,"Furnishings, Fixtures & Appliances",Consumer Cyclical,https://www.hannun.com
HLZ.MC,HOLALUZ CLIDOM S.A.,"Holaluz-Clidom, S.A.",Spain,EUR,2.52,21821500,23676800,54553752,101058760,-31871376,,-1.44,0.09764,-0.06781,-0.046719998,Utilities - Renewable,Utilities,https://www.holaluz.com
HMGS.TA,HOMEBIOGAS LTD,HomeBiogas Ltd,Israel,ILA,422.1,24045400,24045400,98586144,77091768,-11392000,,-2.2,0.25754,-1.74705,-1.91881,Utilities - Renewable,Utilities,https://www.homebiogas.com
IBAB.BR,ION BEAM APPLICATIONS,Ion Beam Applications SA,Belgium,EUR,12.42,29171400,29529700,365225952,,10006000,0.89,-0.31,1.0,0.10479999,0.023340002,Medical Devices,Healthcare,https://www.iba-worldwide.com
INCLU.BR,INCLUSIO SA/NV,Inclusio SA,Belgium,EUR,13.5,7421730,7559170,102048792,225039232,9956900,,2.37,0.90535,0.79161,0.72019994,Real Estate Services,Real Estate,https://www.inclusio.be
ISUN,"iSun, Inc.","iSun, Inc.",United States,USD,0.2015,47328500,47328500,9385242,18251160,-4199000,-0.1,-3.19,0.21165001,-0.06371,-0.04368,Solar,Technology,https://www.isunenergy.com
KCT.AQ,KIN AND CARTA PLC,,,GBp,128.6,,,,,,,,,,,,,
KIK.F,KIKKOMAN CORP.,Kikkoman Corporation,Japan,EUR,61.5,190294000,191850000,11607933952,-45593935872,88266997760,,1.68,0.34164003,0.115380004,0.13633999,Packaged Foods,Consumer Defensive,https://www.kikkoman.com
KMD.NZ,KMD Brands Limited Ordinary Sha,KMD Brands Limited,New Zealand,NZD,0.53,711667008,711667008,412766848,803767808,71788000,0.05,0.01,0.59187,-0.00182,0.07013,Apparel Manufacturing,Consumer Cyclical,https://www.kathmanduholdings.com
KO,Coca-Cola Company (The),The Coca-Cola Company,United States,USD,60.49,4311190016,4312459776,261603016704,293280481280,14440999936,2.76,2.47,0.59523,0.22490999,0.31562,Beverages - Non-Alcoholic,Consumer Defensive,https://www.coca-colacompany.com
KPG.XA,KELLYPRTNR FPO,Kelly Partners Group Holdings Limited,Australia,AUD,7.02,,,,418700992,24674000,,0.107,0.48711,0.23786,0.25581,,,https://kellypartnersgroup.com.au
LFG.XA,LIBERTY FG STAPLED,Liberty Financial Group Limited,Australia,AUD,3.8,,,,14196974592,,,0.69,1.0,0.25628,,,,https://www.liberty.com.au
LMND,"Lemonade, Inc.","Lemonade, Inc.",United States,USD,16.13,70224400,70224400,1158414592,865519680,-203100000,-2.66,-3.4,0.34759998,-0.35105,-0.47255,Insurance - Property & Casualty,Financial Services,https://www.lemonade.com
MLMFI.PA,CONDOR TECHNOLOGIES,Condor Technologies NV,Belgium,EUR,12.0,2318960,,27827520,33856888,-739578,,-0.217,,-1531.3448,,Software - Infrastructure,Technology,https://www.condorscan.com
MME.XA,MONEYME FPO,MoneyMe Limited,Australia,AUD,0.081,,,,1084904320,,,-0.165,1.04657,0.16803,,,,https://www.moneyme.com.au
MPR.XA,MPOWER FPO,MPower Group Limited,Australia,AUD,0.018,,,,23456654,-863000,,-0.019,0.68811,-0.17473,-0.18448,,,https://www.mpower.com.au
NESN.SW,NESTLE N,Nestlé S.A.,Switzerland,CHF,94.36,2621309952,2621309952,248106991616,297381462016,18155999232,5.18,4.23,0.46087003,0.16742,0.19449,Packaged Foods,Consumer Defensive,https://www.nestle.com
NTCO3.SA,GRUPO NATURAON  ED  NM,Natura &Co Holding S.A.,Brazil,BRL,17.82,1380850048,1380850048,24689598464,24137684992,1594105984,1.03,-1.44,0.63813,0.23122999,0.05962,Household & Personal Products,Consumer Defensive,https://www.naturaeco.com
OPY,"Oppenheimer Holdings, Inc.",Oppenheimer Holdings Inc.,United States,USD,39.65,10357400,10457000,414620064,362406688,,2.56,2.59,0.9015,0.22818,,Capital Markets,Financial Services,https://www.oppenheimer.com
PG,Procter & Gamble Company (The),The Procter & Gamble Company,United States,USD,161.66,2353019904,2353019904,378953859072,407314399232,23719000064,6.41,5.97,0.50553,0.27419,0.28259,Household & Personal Products,Consumer Defensive,https://www.pginvestor.com
RETI.MI,RETI,Reti S.p.A.,Italy,EUR,2.14,12340000,12456400,26160798,,3020662,,0.09,0.132,0.0626,0.09781,Information Technology Services,Technology,https://www.reti.it
SML.NZ,Synlait Milk Limited (NS) Ordin,Synlait Milk Limited,New Zealand,NZD,0.73,218582000,218582000,159564864,634229632,54548000,0.12,-0.06,0.08927,-0.0026800002,0.041300002,Packaged Foods,Consumer Defensive,https://www.synlait.com
SOMA3.SA,GRUPO SOMA  ON      NM,Grupo de Moda Soma S.A.,Brazil,BRL,7.18,784747008,809886016,5705110528,6787620352,641272000,0.49,0.12,0.56568,0.090679996,0.12286,Apparel Retail,Consumer Cyclical,https://www.somagrupo.com.br
TENG.L,TEN LIFESTYLE GROUP PLC ORD 0.1,Ten Lifestyle Group Plc,United Kingdom,GBp,68.75,86252896,86252896,58444964,56708904,2306000,4.38,0.05,0.91471,0.036679998,0.0346,Travel Services,Consumer Cyclical,https://www.tenlifestylegroup.com
TIME.MI,COMPAGNIA DEI CARAIBI,Compagnia dei Caraibi S.p.A.,Italy,EUR,0.77,,,,14463896,486510,,,0.27405,-0.02723,0.0095,,,https://www.compagniadeicaraibi.com
TPX.L,TPXIMPACT HOLDINGS PLC ORD 1P,TPXimpact Holdings plc,United Kingdom,GBp,36.5,91070896,92318400,32102490,47800136,-17316000,4.35,-0.27,0.24629,-0.21594,-0.18981001,Information Technology Services,Technology,https://www.tpximpact.com
UL,Unilever PLC,Unilever PLC,United Kingdom,USD,49.99,2505319936,2530769920,125591691264,151356899328,11057999872,2.44,2.8,0.42237,0.16428,0.18552,Household & Personal Products,Consumer Defensive,https://www.unilever.com
VHT.XA,VOLPARA FPO NZ,Volpara Health Technologies Limited,New Zealand,AUD,1.13,,,,275582976,-7897000,,-0.059,0.92274004,-0.24278,-0.20802,,,https://www.volparahealth.com
VITL,"Vital Farms, Inc.","Vital Farms, Inc.",United States,USD,22.96,41795800,41795800,962975296,865379264,41179000,0.94,0.59,0.34402,0.066929996,0.08727,Farm Products,Consumer Defensive,https://vitalfarms.com
VNT.MI,VANTEA SMART,Vantea SMART S.p.A.,Italy,EUR,1.85,12739700,13136700,24205430,29348638,2885220,,0.05,0.087749995,0.08564,0.09967,Information Technology Services,Technology,https://www.vantea.com
VVPR,VivoPower International PLC,VivoPower International PLC,United Kingdom,USD,1.48,3270600,3270600,4742370,38970664,-5913000,-0.41,-8.2,0.10544,-0.49761,-0.39263,Solar,Technology,https://vivopower.com
WRBY,Warby Parker Inc.,Warby Parker Inc.,United States,USD,12.75,98374096,118163000,1520757760,1464138624,-33442000,0.28,-0.54,0.5453,-0.13326,-0.04993,Medical Instruments & Supplies,Healthcare,https://www.warbyparker.com
XHS.MI,XENIA HOTELLERIE SOLUTION,Xenia Hôtellerie Solution S.p.A. Società Benefit,Italy,EUR,2.66,3219000,3315810,8562540,20608540,2879812,,,0.098079994,0.04408,0.0596,Lodging,Consumer Cyclical,https://www.xeniahs.com
XSG.L,XEROS TECHNOLOGY GROUP PLC ORD ,Xeros Technology Group plc,United Kingdom,GBp,2.44,193831008,202570000,4456540,875032,-5895000,-1.8,0.01,-2.173,-23.9469,,Specialty Industrial Machinery,Industrials,https://www.xerostech.com
ZVIA,Zevia PBC,Zevia PBC,United States,USD,1.07,64530000,64529600,69047104,268538,-27728000,-0.28,-1.321,0.44919997,-0.23535,-0.16660999,Beverages - Non-Alcoholic,Consumer Defensive,https://www.zevia.com
