,AED,AFN,ALL,AMD,ANG,AOA,ARS,AUD,AWG,AZN,BAM,BBD,BDT,BGN,BHD,BIF,BMD,BND,BOB,BRL,BSD,BTC,BTN,BWP,BYN,BYR,BZD,CAD,CDF,CHF,CLF,CLP,CNH,CNY,COP,CRC,CUC,CUP,CVE,CZK,DJF,DKK,DOP,DZD,EGP,ERN,ETB,EUR,FJD,FKP,GBP,GEL,GGP,GHS,GIP,GMD,GNF,GTQ,GYD,HKD,HNL,HRK,HTG,HUF,IDR,ILS,IMP,INR,IQD,IRR,ISK,JEP,JMD,JOD,JPY,KES,KGS,KHR,KMF,KPW,KRW,KWD,KYD,KZT,LAK,LBP,LKR,LRD,LSL,LTL,LVL,LYD,MAD,MDL,MGA,MKD,MMK,MNT,MOP,MRU,MUR,MVR,MWK,MXN,MYR,MZN,NAD,NGN,NIO,NOK,NPR,NZD,OMR,PAB,PEN,PGK,PHP,PKR,PLN,PYG,QAR,RON,RSD,RUB,RWF,SAR,SBD,SCR,SDG,SEK,SGD,SHP,SLE,SLL,SOS,SRD,STD,SVC,SYP,SZL,THB,TJS,TMT,TND,TOP,TRY,TTD,TWD,TZS,UAH,UGX,USD,UYU,UZS,VEF,VES,VND,VUV,WST,XAF,XAG,XAU,XCD,XDR,XOF,XPF,YER,ZAR,ZMK,ZMW,ZWL
2024-03-27,3.672299,72.500953,96.350336,394.709774,1.80267,838.000108,857.742059,1.533296,1.8,1.701714,1.807812,2.019485,109.773908,1.806393,0.376901,2865.0,1.0,1.348511,6.911309,4.991794,1.000222,1.439112e-05,83.358137,13.710646,3.272789,19600.0,2.016157,1.35885,2795.000186,0.905704,0.035512,979.889928,7.25861,7.226795,3848.13,508.388409,1.0,26.5,102.303327,23.418099,177.719975,6.897635,59.25019,134.719242,47.248499,15.0,56.874974,0.924805,2.2549,0.791928,0.79265,2.709811,0.791928,13.193234,0.791928,67.924985,8600.000096,7.799675,209.261912,7.82355,24.780099,6.882375,132.604958,365.220438,15884.0,3.676705,0.791928,83.36525,1310.0,42035.000124,139.000104,0.791928,153.921523,0.708902,151.293498,132.502829,89.509949,4045.000227,455.049996,899.925559,1350.524979,0.30765,0.833564,450.224613,20947.502428,89700.000166,300.903999,192.749434,18.885023,2.95274,0.60489,4.825025,10.141501,17.699311,4391.501874,56.887709,2100.456621,3403.702206,8.05999,40.049646,46.289704,15.460287,1742.000423,16.565703,4.732987,63.499964,18.88994,1418.570596,36.849756,10.803305,133.373388,1.668905,0.38495,1.000222,3.736425,3.832063,56.279019,277.949887,3.99055,7379.026667,3.640499,4.598903,108.317032,92.450243,1289.0,3.750676,8.465274,13.550529,601.000211,10.64296,1.34879,1.263972,22.596527,22596.526609,571.485115,34.852977,20697.981008,8.751594,13001.853422,18.88979,36.410086,10.942266,3.5,3.122984,2.37745,32.304703,6.802237,31.9944,2557.496888,39.283271,3885.900209,1.0,37.823748,12625.000237,3628387.38319,36.28861,24795.0,120.675453,2.766241,606.323369,0.040707,0.000456,2.70255,0.755273,604.505548,110.550116,250.349764,18.93365,9001.202446,25.230855,321.999592
2024-03-28,3.672104,72.495814,96.350165,393.916498,1.80189,832.633019,857.290433,1.535025,1.8025,1.714659,1.813192,2.018634,109.729755,1.807818,0.376921,2865.0,1.0,1.351133,6.908604,5.015605,0.99975,1.4132979e-05,83.363479,13.770917,3.271852,19600.0,2.015288,1.35385,2805.000177,0.901315,0.035551,980.960132,7.26209,7.227505,3859.0,502.853117,1.0,26.5,102.308457,23.434043,177.719669,6.911199,59.250307,134.68697,47.395297,15.0,56.875027,0.92655,2.256903,0.791846,0.79205,2.696786,0.791846,13.198872,0.791846,67.924991,8599.999792,7.795892,209.344044,7.82627,24.780126,6.882375,132.552739,365.260536,15884.0,3.66371,0.791846,83.39325,1310.0,42035.000396,139.280055,0.791846,153.868975,0.708897,151.449504,132.501353,89.471003,4044.999635,455.050009,899.995572,1350.505032,0.30765,0.833171,448.291846,20947.495737,89730.946064,300.468639,192.71925,18.884984,2.95274,0.60489,4.82499,10.141498,17.631217,4391.520974,57.117693,2099.568906,3395.872519,8.057256,40.050457,46.380104,15.460273,1741.99982,16.610202,4.732979,63.502283,18.88996,1393.509643,36.850388,10.852335,133.381233,1.674061,0.384985,0.999768,3.7205,3.831968,56.191003,277.95061,3.99115,7391.68123,3.640497,4.606899,108.500787,92.44987,1289.0,3.750581,8.504016,13.514991,600.999918,10.700795,1.349969,1.263997,22.745701,22745.701157,571.500113,35.204979,20697.981008,8.747972,13001.78742,18.890088,36.435018,10.95258,3.5,3.123503,2.37805,32.454098,6.786292,32.033103,2580.000185,39.228109,3878.922727,1.0,37.519121,12624.999971,3627137.313762,36.28861,24795.0,120.588962,2.764057,608.130571,0.040054,0.000448,2.70255,0.755378,604.506089,110.549771,250.350102,18.93665,9001.195129,24.794768,321.999592
2024-03-31,3.672301,71.203074,95.153451,393.926769,1.799843,837.99984,857.125027,1.53076,1.8,1.698585,1.810674,2.016479,109.605147,1.812398,0.376522,2859.232514,1.0,1.347128,6.92589,5.014698,0.998658,1.4015738e-05,83.247327,13.727723,3.26825,19600.0,2.013054,1.352255,2807.502905,0.90204,0.035508,979.769811,7.251245,7.221297,3861.2,502.337638,1.0,26.5,102.083044,23.409298,177.836412,6.910805,59.15845,134.548905,47.426533,15.0,56.753877,0.92657,2.256898,0.792074,0.79134,2.695013,0.792074,13.232421,0.792074,67.90398,8583.992964,7.786881,209.100588,7.82578,24.652132,6.882375,132.407536,365.657496,15855.0,3.69425,0.792074,83.36505,1308.244225,42047.503518,139.259829,0.792074,153.710133,0.7089,151.403017,131.750004,89.470797,4037.402213,456.350244,899.965919,1346.309954,0.30765,0.832292,446.604638,21085.960283,89431.838171,300.05277,192.689175,18.880482,2.95274,0.60489,4.831736,10.080267,17.616998,4362.35708,57.043003,2097.208721,3378.816729,8.050086,40.070263,46.380081,15.450251,1731.055872,16.55795,4.724499,63.509086,18.879482,1304.340285,36.754155,10.848016,133.19539,1.670555,0.384558,0.998658,3.714021,3.821691,56.185006,277.583299,3.983628,7384.159607,3.64099,4.6073,108.455307,92.58502,1284.266074,3.754707,8.475946,13.513028,600.999965,10.679575,1.347765,1.26215,22.69007,22690.070455,571.498382,35.204977,20697.981008,8.738601,13001.855133,18.871453,36.414952,10.925612,3.51,3.130319,2.378049,32.4284,6.784243,31.948992,2565.000073,39.173633,3882.794056,1.0,37.513308,12611.211406,3620576.392711,36.203876,24812.5,119.801763,2.683112,607.283248,0.039739,0.000445,2.70255,0.75434,607.283248,110.949728,250.350435,18.863299,9001.199844,25.000231,321.999592
2024-04-01,3.672304,72.501928,95.302679,391.97016,1.801469,832.63303,861.729829,1.541402,1.8025,1.703821,1.81231,2.018301,109.704172,1.81304,0.378634,2862.0,1.0,1.348357,6.932147,5.055103,0.99956,1.4356262e-05,83.322538,13.740126,3.271203,19600.0,2.014872,1.357435,2859.999511,0.905131,0.035715,985.480204,7.26094,7.230698,3862.81,502.796143,1.0,26.5,103.124956,23.558967,177.719968,6.946805,59.294756,135.303619,47.631553,15.0,56.90203,0.93136,2.256901,0.792056,0.79715,2.695019,0.792056,13.249702,0.792056,67.850328,8594.999739,7.793917,209.289504,7.825445,24.780066,6.882375,132.52839,367.692498,15956.05,3.67757,0.792056,83.441498,1310.0,42035.000215,139.989515,0.792056,153.846867,0.708901,151.587012,131.496482,89.407397,4043.999932,458.601156,900.0,1355.919739,0.30765,0.833044,447.008131,21107.486976,89700.000232,300.323859,192.85067,18.950172,2.95274,0.60489,4.839673,10.082501,17.632914,4384.999836,57.36297,2099.103482,3378.753106,8.057359,40.070353,46.589707,15.449759,1742.999765,16.623801,4.729501,63.520974,18.950232,1306.669591,36.249936,10.96649,133.316345,1.680145,0.386715,0.99956,3.72075,3.827014,56.252021,277.902547,4.00041,7390.830959,3.640968,4.630129,108.553293,92.290105,1289.0,3.75095,8.475946,13.512995,600.497997,10.80469,1.35261,1.254501,22.690067,22690.066806,571.500677,35.091986,20697.981008,8.746496,13001.837094,18.950323,36.6005,10.935483,3.505,3.124502,2.37805,32.267401,6.790372,32.029836,2565.000421,39.209025,3886.302036,1.0,37.5472,12655.000226,3620414.736771,36.203876,24805.0,119.801863,2.683111,607.831909,0.03986,0.000445,2.70255,0.755021,608.999915,111.550196,250.382409,18.953815,9001.196707,25.022818,321.999592
2024-04-02,3.672501,71.503293,95.719384,390.99003,1.802335,832.632986,857.501022,1.535131,1.8005,1.697928,1.820195,2.019181,109.753374,1.817166,0.37684,2861.0,1.0,1.352728,6.910223,5.065902,1.000005,1.526623e-05,83.417792,13.690088,3.2727,19600.0,2.015738,1.356495,2857.999938,0.90788,0.035374,976.070046,7.25622,7.233398,3832.0,501.724066,1.0,26.5,102.649742,23.507503,177.719571,6.92621,59.375008,134.614011,47.155404,15.0,56.837212,0.928665,2.25795,0.797231,0.79514,2.680058,0.797231,13.301917,0.797231,67.874953,8595.625872,7.798082,209.391389,7.828599,24.6859,6.882375,132.583214,366.598967,15967.5,3.715425,0.797231,83.35055,1310.010749,42047.493099,139.590507,0.797231,153.942084,0.708903,151.543015,131.000103,89.349732,4044.000177,458.590431,899.955587,1351.729802,0.30769,0.833411,447.31503,21107.501849,89649.999987,299.385761,192.849715,18.95018,2.95274,0.60489,4.839674,10.080497,17.740427,4357.3958,57.190991,2100.056306,3399.266073,8.06323,39.749561,46.448773,15.450003,1733.930823,16.564901,4.754493,63.501294,18.950449,1309.000538,36.807818,10.83755,133.46828,1.675365,0.384941,1.000005,3.709004,3.829706,56.325976,277.832749,3.985401,7380.211169,3.641027,4.616105,108.784966,92.289681,1285.99947,3.750638,8.475946,13.611511,585.999881,10.74093,1.35143,1.254498,22.847303,22847.302789,571.48613,34.888836,20697.981008,8.750116,13001.857197,18.815263,36.611977,10.950353,3.505,3.133502,2.38425,32.057099,6.792959,32.046502,2581.999569,39.329639,3879.94416,1.0,37.561657,12644.95114,3622552.534434,36.203876,24915.0,120.7358,2.765931,610.479341,0.038229,0.000439,2.70255,0.755239,609.000132,111.549967,250.398566,18.780115,9001.200767,24.77536,321.999592
2024-04-03,3.672525,71.500761,95.013749,389.719986,1.801041,832.632977,857.511101,1.522302,1.80125,1.700277,1.81384,2.017779,109.676193,1.80507,0.376935,2860.0,1.0,1.350967,6.905538,5.040099,0.999383,1.514365e-05,83.38108,13.689585,3.270439,19600.0,2.014347,1.35245,2859.999795,0.90298,0.034606,954.889958,7.24922,7.235399,3813.36,500.897275,1.0,26.5,102.149836,23.36301,177.249891,6.882097,59.402334,134.707793,47.351698,15.0,56.804496,0.922655,2.24825,0.797231,0.79035,2.680098,0.797231,13.349909,0.797231,67.921651,8588.797745,7.784728,209.252827,7.82865,24.668333,6.882375,132.490622,362.306495,15942.0,3.712749,0.797231,83.221499,1310.0,42037.500353,138.679778,0.797231,152.903043,0.708901,151.568974,131.000009,89.350281,4045.000258,454.549836,899.955587,1345.430097,0.30759,0.832819,447.153529,21145.000373,89625.000169,299.508933,192.850116,18.789921,2.95274,0.60489,4.830286,10.092232,17.733118,4347.725281,56.863749,2098.649219,3399.266073,8.060171,39.764996,46.354561,15.460258,1740.000079,16.542104,4.755026,63.509021,18.790148,1319.613194,36.781311,10.717791,133.409691,1.66269,0.384944,0.999383,3.70975,3.8293,56.445501,277.895602,3.96135,7350.697649,3.641505,4.585798,108.090329,92.475011,1288.0,3.750871,8.475946,13.571442,586.000093,10.644975,1.348102,1.258298,22.847303,22847.302789,571.498058,34.906499,20697.981008,8.744604,13001.857197,18.790294,36.620364,10.952873,3.505,3.133503,2.383099,31.950301,6.777555,31.9813,2581.999762,39.127302,3867.323895,1.0,37.847839,12624.911316,3622552.534434,36.19891,25010.0,120.7358,2.765931,608.344887,0.036915,0.000435,2.70255,0.754731,608.344887,111.549855,250.375036,18.672699,9001.198965,24.659059,321.999592
2024-04-04,3.672501,71.497874,94.525035,388.590411,1.801828,837.000243,861.75794,1.518015,1.8025,1.685622,1.800556,2.018652,109.729152,1.803546,0.376984,2861.0,1.0,1.346492,6.908806,5.058896,0.999797,1.4589379e-05,83.43332,13.593011,3.271897,19600.0,2.015227,1.35448,2857.497835,0.90158,0.034096,940.796617,7.249645,7.234897,3770.0,508.953644,1.0,26.5,101.950035,23.365699,177.719436,6.883202,59.424996,134.598999,47.356012,15.0,56.650003,0.922802,2.245197,0.797231,0.791149,2.680176,0.797231,13.358051,0.797231,67.925063,8594.02331,7.788406,209.354141,7.82925,24.801678,6.882375,132.523798,361.98005,15912.15,3.71032,0.797231,83.47805,1310.0,42074.999893,138.890131,0.797231,154.018946,0.708903,151.297016,130.000157,89.349516,4043.000113,454.549952,899.955587,1351.815002,0.30751,0.833165,446.180332,21144.999924,89624.999577,299.451308,192.849843,18.660283,2.95274,0.60489,4.849608,10.062501,17.710798,4355.000638,56.848272,2099.482609,3399.266073,8.061276,39.698106,46.312914,15.449801,1741.000521,16.57529,4.739498,63.506089,18.660305,1319.604301,36.750343,10.73278,133.483701,1.65913,0.38496,0.999788,3.689803,3.780501,56.679794,277.897323,3.959309,7365.84333,3.641599,4.585198,108.091964,92.475026,1289.0,3.750923,8.475185,13.429606,585.999824,10.64866,1.348535,1.258304,22.847303,22847.302789,571.498858,34.845037,20697.981008,8.747767,13001.857197,18.659981,36.710501,10.929914,3.505,3.133502,2.376297,31.96578,6.775307,32.057988,2575.00008,38.999466,3850.048793,1.0,37.865257,12687.49754,3622552.534434,36.203566,24950.0,120.7358,2.765931,603.884076,0.037284,0.000437,2.70255,0.755096,607.999769,111.549989,250.374995,18.698097,9001.187314,24.721263,321.999592
2024-04-05,3.672504,71.229089,94.428315,388.036315,1.799714,837.000367,860.558551,1.51955,1.8,1.70397,1.802664,2.016314,109.599521,1.80571,0.376984,2859.394442,1.0,1.345961,6.91011,5.066204,0.998571,1.4731929e-05,83.172128,13.586801,3.268077,19600.0,2.012904,1.35905,2805.000362,0.901704,0.034409,949.450396,7.247605,7.232904,3769.01,508.318356,1.0,26.5,102.303894,23.360304,177.83308,6.882404,59.136366,134.74504,47.325499,15.0,56.60565,0.92185,2.24725,0.797231,0.791202,2.680391,0.797231,13.403856,0.797231,67.92504,8581.962302,7.77916,209.379918,7.82995,24.649062,6.882375,132.402415,360.077504,15887.75,3.76302,0.797231,83.29705,1308.170883,42075.000352,138.680386,0.797231,154.311259,0.708904,151.60504,129.821651,89.335604,4034.287294,454.650384,899.955587,1351.265039,0.30753,0.832204,446.057422,21122.632379,89426.14867,298.612839,192.850382,18.670381,2.95274,0.60489,4.828794,10.06038,17.625697,4401.124476,56.872038,2097.055164,3399.266073,8.052629,39.720379,46.330378,15.460378,1731.508364,16.453604,4.747504,63.503729,18.670377,1247.750377,36.757454,10.730504,133.075257,1.662511,0.38495,0.999922,3.683303,3.827826,56.590375,277.540716,3.949986,7359.786165,3.641038,4.584404,108.127038,92.580373,1285.036177,3.751027,8.475185,13.526038,586.000339,10.676985,1.349404,1.26345,22.847303,22847.302789,571.503662,34.893038,20697.981008,8.73773,13001.857197,18.571363,36.520369,10.944836,3.5,3.121504,2.373504,32.071504,6.758837,32.126204,2576.432094,38.781787,3832.078894,1.0,38.213743,12662.33467,3622552.534434,36.165265,24965.0,120.7358,2.765931,604.596525,0.036437,0.00043,2.70255,0.754228,604.596525,110.575037,250.450363,18.72965,9001.203587,24.590995,321.999592
2024-04-07,3.672497,71.291513,94.51107,388.376384,1.801292,837.000256,862.092113,1.52209,1.8,1.660081,1.804244,2.018081,109.695572,1.804244,0.376845,2861.900369,1.0,1.34714,6.906827,5.056401,0.999446,1.441148e-05,83.245018,13.598708,3.270941,19600.0,2.014668,1.360475,2805.000155,0.90323,0.034089,940.618081,7.251993,7.232403,3775.09,508.763838,1.0,26.5,101.72048,23.358006,177.98893,6.886497,59.188192,134.745011,47.408085,15.0,56.655258,0.92334,2.24725,0.797231,0.792101,2.680028,0.797231,13.392989,0.797231,67.925041,8589.483395,7.785978,209.280443,7.828895,24.670664,6.882375,132.51845,359.80804,15888.0,3.763395,0.797231,83.29705,1309.317343,42075.000077,138.770215,0.797231,154.446494,0.708899,151.695998,129.939803,89.335601,4037.822878,454.650202,899.955587,1351.270491,0.30753,0.832934,446.448339,21141.143911,89504.520295,298.874539,192.849899,18.669792,2.95274,0.60489,4.833026,10.07703,17.641144,4404.98155,56.845018,2098.892989,3399.266073,8.059686,39.719979,46.330153,15.459854,1733.02583,16.466976,4.747495,63.505782,18.670103,1247.75009,36.789668,10.753902,133.191882,1.665575,0.38495,0.999446,3.686531,3.831181,56.509896,277.783948,3.953925,7366.236162,3.640964,4.5861,108.074815,92.579668,1286.162362,3.751027,8.475185,13.526034,585.999879,10.650905,1.349299,1.26345,22.847303,22847.302789,571.498844,34.893012,20697.981008,8.745387,13001.857197,18.587638,36.670207,10.954428,3.5,3.121501,2.373504,32.012595,6.76476,32.126199,2578.690251,38.815775,3830.258303,1.0,38.247232,12673.431734,3622552.534434,36.165265,24965.0,120.7358,2.765931,605.126384,0.036804,0.000433,2.70255,0.754889,605.126384,110.574969,250.449943,18.717115,9001.201616,24.612546,321.999592
